Highlight;Title;Author;URL;Note;Location;Date
Nierozpraszalność oznacza dążenie do zrobienia tego, co mówisz, że zrobisz.;Nierozpraszalni;Nir Eyal;;mowisz ze zrobisz;22;2023.02.01 23:51
Pogoń za atrakcjami uniemożliwia osiąganie wyznaczonych celów. Atrakcją jest dowolne działanie, które odwodzi Cię od tego, czego naprawdę chcesz.Trakcja zbliża do celu. Trakcją jest dowolne działanie, które przybliża Cię do tego, czego naprawdę chcesz.Trakcja i atrakcja są konsekwencją różnych bodźców. Zewnętrzne bodźce skłaniają dopodejmowania działań za pośrednictwem wskazówek płynących z otoczenia. Wewnętrzne bodźce skłaniają do podejmowania działań za pośrednictwem wskazówek płynących z wnętrza.;Nierozpraszalni;Nir Eyal;;zapamietaj 2;23;2023.02.01 23:52
Nawet gdy sądzimy, że szukamy przyjemności, tak naprawdę napędza nas pragnienie ucieczki od bólu chcenia;Nierozpraszalni;Nir Eyal;;bol chcenia;28;2023.02.01 23:57
Krótko mówiąc, siłą sprawczą wszystkich naszych zachowań jest dążenie do zmniejszenia dyskomfortu, wszystko inne zaś to bieżące, bezpośrednie pobudki;Nierozpraszalni;Nir Eyal;;zmniejszanie dyskomfortu;28;2023.02.01 23:58
Jeśli nie zajmiemy się siłami sprawczymi, które sprzyjają dekoncentracji, nadal będziemy wynajdywać sposoby na odwracanie uwagi. Jak się okazuje, w rozpraszaniu się nie chodzi o sam dekoncentrujący bodziec, lecz raczej o to, jak na niego zareagujemy.;Nierozpraszalni;Nir Eyal;;sily sprawcze;29;2023.02.02 00:00
"Gdy próbujesz uciec od bólu czegoś tak poważnego jak ewentualny rozwód, to prawdziwym problemem nie jest krokomierz; jeśli nie uporasz się z dyskomfortem, który napędza chęć do ucieczki, będziesz szukać doraźnych rozwiązań w postaci różnych zaprzątających uwagę atrakcji";Nierozpraszalni;Nir Eyal;;dorazne rozwiazania;30;2023.02.02 00:04
Jedynie dzięki zrozumieniu istoty naszego bólu możemy zacząć go kontrolować i znaleźć lepsze sposoby radzenia sobie ze szkodliwymi pragnieniami;Nierozpraszalni;Nir Eyal;;szkodliwe pragnienia;30;2023.02.02 00:04
Znajdź pierwotną przyczynę dekoncentracji. Rozpraszanie się nie jest tylko kwestią elektronicznych gadżetów. Oddziel bezpośrednie przyczyny od prawdziwej siły sprawczej.Wszelka motywacja wynika z chęci ucieczki przed dyskomfortem. Jeśli jakieś zachowanie wcześniej skutecznie przyniosło Ci ulgę, istnieje większe prawdopodobieństwo, że w ramach eskapizmu będziesz do niego wracać.Wszystkie sposoby unikania dyskomfortu są potencjalnie uzależniające, lecz to nie znaczy, że nie da się im oprzeć. Jeśli znasz czynniki, które skłaniają Cię do określonych zachowań, możesz podjąć działania pozwalające nad nimi zapanować.;Nierozpraszalni;Nir Eyal;;zapamietaj 3;31;2023.02.02 00:06
Jeśli dekoncentrując się, tracimy czas, to zarządzanie czasem jest zarządzaniem bólem;Nierozpraszalni;Nir Eyal;;zarzadzanie bolem;32;2023.02.02 00:11
Samuel Johnson: „Moje życie jest jedną wielką ucieczką od siebie;Nierozpraszalni;Nir Eyal;;ucieczka Od siebie;32;2023.02.02 00:12
Innymi słowy, poczucie błogiego zadowolenia nie byłoby dobre dla gatunku. Nasi przodkowie pracowali ciężej i bardziej się starali, bo ewolucja wyposażyła ich w poczucie wiecznego niedosytu — i tak już nam zostało.;Nierozpraszalni;Nir Eyal;;wieczny niedosyt;33;2023.02.02 00:14
Ludzie wolą działać niż myśleć, nawet jeśli to, co robią, jest tak nieprzyjemne, że w normalnych okolicznościach zapłaciliby, aby tego uniknąć;Nierozpraszalni;Nir Eyal;;wola dzialac niz myslec;33;2023.02.02 00:15
Jeśli kiedykolwiek raz po raz wracałeś myślami do czegoś, co zrobiłeś albo co ktoś zrobił Tobie, i miałeś wrażenie, że nie jesteś w stanie przestać się nad tym zastanawiać, to doświadczyłeś czegoś, co psychologowie nazywają ruminacjami.;Nierozpraszalni;Nir Eyal;;ruminacja;34;2023.02.02 00:18
Niezadowolenie i dyskomfort są dominującymi stanami mózgu, lecz zamiast się nimi dołować, możemy je wyko;Nierozpraszalni;Nir Eyal;;dominujace stany;34;2023.02.02 00:22
rzystać do motywowania si;Nierozpraszalni;Nir Eyal;;stać do motywowania się;35;2023.02.02 00:22
Aby ujarzmić siłę rozżalenia, musimy wyrzec się fałszywego przeświadczenia, że jeśli nie jesteśmy szczęśliwi, to nie jesteśmy normalni — jest dokładnie na odwrót. Ta zmiana w sposobie myślenia może niepokoić, lecz bywa bardzo wyzwalająca;Nierozpraszalni;Nir Eyal;;not happy not normal;35;2023.02.02 00:24
Zarządzanie czasem to zarządzanie bólem. Dekoncentracja oznacza marnowanie czasu i jak każde działanie jest powodowana chęcią uniknięcia dyskomfortu.Ewolucja przedkładała niezadowolenie nad satysfakcję. Ludzkie skłonności do nudy, negatywnego nastawienia, ruminacji i adaptacji hedonicznej sprawiają, że satysfakcja nigdy nie trwa długo.Niezadowolenie przyczynia się do postępu naszego gatunku, lecz także do jego błędów. To wewnętrzna siła, którą możemy wykorzystać do poprawienia swojej sytuacji.Jeśli chcesz zapanować nad dekoncentracją, musisz nauczyć się radzić sobie z dyskomfortem;Nierozpraszalni;Nir Eyal;;zapamietaj 4;35;2023.02.02 00:25
Rozdział 5. Uporaj się z dekoncentracją od wewnątrzOkazuje się, że mentalna abstynencja może mieć skutki odwrotne do zamierzonych.;Nierozpraszalni;Nir Eyal;;mentalna abstynencja;36;2023.02.02 00:27
Nieustanne opieranie się zachciankom i zakończone poddaniem się roztrząsanie ich w myślach umacnia cały cykl i prawdopodobnie napędza wiele szkodliwych zachowań.;Nierozpraszalni;Nir Eyal;;Nie opieraj Się zachciankom;37;2023.02.02 00:32
Bez technik pozwalających na rozbrojenie pokus mentalna abstynencja może wywołać skutki odwrotne do zamierzonych. Opieranie się ciągotom może skłaniać do ruminacji i tym samym je umacniać.Możemy kontrolować płynące z wnętrza dekoncentrujące pokusy poprzez zmianę sposobu myślenia o nich. Możemy przeformułować bodziec, zadanie i temperament;Nierozpraszalni;Nir Eyal;;zapamietaj 5;38;2023.02.02 00:35
Krok 2. Zapisz bodziecKrok 1. Zastanów się, jaki dyskomfort poprzedza pokusę, skupiając się na wewnętrznych bodźcach;Nierozpraszalni;Nir Eyal;;jaki dyskomfort prized bodzcem;39;2023.02.02 08:04
Krok 2. Zapisz bodziec;Nierozpraszalni;Nir Eyal;;zapisz bodziec;39;2023.02.02 08:05
Krok 4. Uważaj na sytuacje graniczneKrok 3. Przeanalizuj swoje wrażenia;Nierozpraszalni;Nir Eyal;;wrazenia;40;2023.02.02 08:07
Gdy poczujesz niekomfortowy impuls do zrobienia czegoś, czego wolałbyś nie robić, „wyobraź sobie, że siedzisz obok łagodnie płynącego strumienia. Na jego falach unoszą się liście. Umieść na liściach wszystkie myśli, które przychodzą Ci do głowy. Mogą to być wspomnienia, słowa, zmartwienia lub obrazy. A potem pozwól, by liście popłynęły w dół strumienia i, tańcząc na wodzie, zniknęły w oddali, gdy na nie patrzysz”;Nierozpraszalni;Nir Eyal;;liscie w strumieniu;40;2023.02.02 08:09
Krok 4. Uważaj na sytuacje graniczne;Nierozpraszalni;Nir Eyal;;sytuacje graniczne;40;2023.02.02 08:10
Techniką, która wyjątkowo dobrze sprawdziła się u mnie przy unikaniu rozpraszających uwagę pułapek, jest „zasada dziesięciu minut”[3]. Jeśli korci mnie, by uspokoić nerwy, korzystając ze smartfona, a nie przychodzi mi do głowy żaden inny pomysł, mówię, że pozwolę sobie na tę zachciankę, ale nie teraz. Muszę poczekać dziesięć minut;Nierozpraszalni;Nir Eyal;;wait 10 min;41;2023.02.02 08:11
Jeśli po dziesięciu minutach owego surfowania nadal mamy ochotę na dane działanie, możemy je wykonać, lecz rzadko tak się zdarza. Moment graniczny minął i możemy zrobić to, czego naprawdę chcemy.;Nierozpraszalni;Nir Eyal;;moment graniczny;41;2023.02.02 08:14
To ciekawe, lecz gdy subtelnie przyglądasz się negatywnym emocjom, mają one tendencje do usuwania się w cień, podczas gdy pozytywne emocje narastają”[6].;Nierozpraszalni;Nir Eyal;;subtelne przygladanie;41;2023.02.02 08:16
Dzięki zmianie nastawienia do niekomfortowego wewnętrznego bodźca możemy go unieszkodliwić.Krok 1. Przyjrzyj się emocjom, które poprzedzają rozpraszający Cię bodziec.Krok 2. Zapisz ten wewnętrzny bodziec.Krok 3. Przyjrzyj się negatywnym odczuciom z ciekawością zamiast z pogardą.Krok 4. Bądź w dwójnasób czujny w sytuacjach granicznych.;Nierozpraszalni;Nir Eyal;;zapamietaj 6;42;2023.02.02 08:17
"Frajda i zabawa nie muszą poprawiać samopoczucia wprost; można potraktować je jak narzędzia, które pozwalają nam się skupić.";Nierozpraszalni;Nir Eyal;;frajda pomaga w skupieniu;43;2023.02.05 19:45
Te same neuronalne obwody, które uzależniają nas od mediów, pozwalają głębiej angażować się w niezbyt przyjemne sprawy.;Nierozpraszalni;Nir Eyal;;neurony angazowanie;44;2023.02.05 19:48
ciekawość jest lekarstwem na nudę, a na ciekawość nie ma lekarstwa”;Nierozpraszalni;Nir Eyal;;ciekawosc lekarstwem na nude;45;2023.02.05 19:52
Zabawa polega na dostrzeganiu w czymś różnorodności, której inni nie zauważają. Na przełamywaniu nudy, monotonii i odkrywaniu wewnętrznego piękna;Nierozpraszalni;Nir Eyal;;zabawa to roznorodnosc;45;2023.02.05 19:52
Aby zapanować nad wewnętrznymi bodźcami, możemy zmienić nastawienie do nużącego zadania. Gra i zabawa mogą być narzędziami ułatwiającym skupienie.Zabawa nie musi być przyjemna. Chodzi o to, by ułatwiała koncentrację.Aby uprzyjemnić dowolne zadanie, można wprowadzić w nim pierwiastki celowości i nowości;Nierozpraszalni;Nir Eyal;;zapamietaj 7;45;2023.02.05 19:55
Jednym z najbardziej rozpowszechnionych aspektów tak zwanej psychologii potocznej jest przekonanie, że możliwości samokontroli są ograniczone — dysponujemy tylko taką siłą woli, na jaką pozwala nasz temperament. Co więcej, według tej teorii podczas zmagań z czymś siła woli może się po prostu zużyć. Psychologowie mają nawet nazwę na to zjawisko: wyczerpanie ego;Nierozpraszalni;Nir Eyal;;wyczerpanie ego;46;2023.02.05 19:59
Ludzie, którzy nie traktują siły woli jako skończonego zasobu, nie przejawiają oznak wyczerpania ego.;Nierozpraszalni;Nir Eyal;;sila woli - ego;47;2023.02.05 20:02
Przekonanie uzależnionego o jego bezsilności było równie istotnym wskaźnikiem powrotu do nałogu po terapii jak poziom fizycznego uzależnienia;Nierozpraszalni;Nir Eyal;;co myslisz o bezsilnosci;48;2023.02.05 20:08
Wyrozumiałość względem siebie czyni ludzi odporniejszymi na potknięcia, przełamuje bowiem błędne koło stresu, który zwykle towarzyszy porażkom;Nierozpraszalni;Nir Eyal;;wyrozumialosc;49;2023.02.05 20:14
Ponieważ wiemy o sobie bardzo wiele, zwykle jesteśmy swoimi najzagorzalszymi krytykami, lecz jeśli będziemy ze sobą rozmawiać jak z kimś bliskim, komu chcemy pomóc, możemy ujrzeć sytuację w prawdziwszym świetle. Powtarzanie sobie rzeczy w rodzaju: „Właśnie tego trzeba, by stać się w czymś lepszym” albo: „Jesteś na dobrej drodze”, to zdrowsze sposoby radzenia sobie ze zwątpieniem;Nierozpraszalni;Nir Eyal;;bliski ktoremu chcemy pomoc;49;2023.02.05 20:19
Jeśli wierzymy, że nie wystarczy nam silnej woli i samokontroli, to tak się stanie. Uznanie własnej bezsilności wobec pokus jest samospełniającą się przepowiednią. Jeśli powtarzamy sobie, że z natury jesteśmy ułomni, to uwierzymy w każde słowo;Nierozpraszalni;Nir Eyal;;wiara czyni cuda;50;2023.02.05 20:21
Zmiana nastawienia do temperamentu może ułatwić zapanowanie nad wewnętrznymi bodźcami.Siła woli się nie kończy. Wiara w to zmniejsza prawdopodobieństwo osiągnięcia celu, dostarcza bowiem powodu do poddania się, choć w przeciwnym razie moglibyśmy wytrwać.Ważne jest to, co sobie powtarzamy. Przekonanie o niskiej samokontroli jest krzywdzące.Ćwicz wyrozumiałość dla samego siebie. Rozmawiaj ze sobą tak jak z przyjacielem. Ludzie bardziej wyrozumiali dla siebie są odporniejsi.;Nierozpraszalni;Nir Eyal;;zapamietaj 8;50;2023.02.05 20:22
Powiedz mi, jak spędzasz czas, a powiem ci, kim będziesz”;Nierozpraszalni;Nir Eyal;;czas jak spedzasz;52;2023.02.05 20:24
Skąpcami są w zachowywaniu odziedziczonego majątku, ale są największymi marnotrawcami, jeśli chodzi o stratę czasu, jedynego dobra, wobec którego skąpstwo i chciwość jest cnotą”[2]. Choć słowa Seneki liczą dwa tysiące lat, są dziś równie prawdziwe jak dawniej. Pomyśl, ile zamków, systemów zabezpieczeń i skrytek służy nam do ochrony własności, a jak niewiele robimy, aby chronić swój czas;Nierozpraszalni;Nir Eyal;;chronic swoj czas;52;2023.02.05 20:26
Nie uda Ci się nazwać bodźca, który odwraca Twoją uwagę, jeśli nie będziesz wiedział, od czego Cię ta rzecz odciąga.;Nierozpraszalni;Nir Eyal;;Od czego Się odwracasz;54;2023.02.05 20:32
Najskuteczniejszy sposób znalezienia czasu na trakcję to tak zwany timeboxing. Technika ta bazuje na dobrze poznanym mechanizmie, który psychologowie nazywają zamiarem lub intencją realizacji (ang. implementation intention)[8]. To wyszukany sposób powiedzenia: „zdecydowałem, co chcę zrobić i kiedyto zrobię”.;Nierozpraszalni;Nir Eyal;;intencja realizacji;55;2023.02.05 20:34
Dla odmiany zerknięcie do firmowej skrzynki e-mailowej — zadanie pozornie produktywne — będzie odwróceniem uwagi, jeśli zrobisz to w czasie przeznaczonym na przebywanie z rodziną albo pracę nad prezentacją;Nierozpraszalni;Nir Eyal;;pozorna produktywnosc;55;2023.02.05 20:35
Pusty szablon znajdziesz w dodatkuna końcu książki oraz na stronie internetowej pod adresem ftp://ftp.helion.pl/przyklady/nieroz.zip;Nierozpraszalni;Nir Eyal;;szablon kalendarz;55;2023.02.05 20:37
Nie będziesz umiał nazwać bodźca, który odwraca Twoją uwagę, jeśli nie będziesz wiedział, od czego Cię ta rzecz odciąga. Bez planowania nie da się odróżnić trakcji od atrakcji.Czy harmonogram w kalendarzu odzwierciedla Twoje wartości? Aby zostać człowiekiem, którym chcesz być, musisz mieć czas na życie zgodne ze swoimi wartościami.Planuj dni. Trzy życiowe dziedziny — Ty, relacje i praca — stanowią ramy, zgodnie z którymi powinieneś planować sposób wykorzystania czasu.Analizuj i koryguj. Regularnie udoskonalaj harmonogram, lecz gdy już go ustalisz, trzymaj się go;Nierozpraszalni;Nir Eyal;;zapamietaj 9;57;2023.02.05 20:43
Rozdział 10. Kontroluj starania, nie rezultatyDbanie o siebie jest fundamentem wszystkich trzech dziedzin, bo dwie pozostałe zależą od Twojego zdrowia i samopoczucia. Jeśli nie zajmiesz się sobą, ucierpią na tym Twoje relacje. Na tej samej zasadzie nie będziesz wydajny w pracy, jeśli nie dasz sobie czasu potrzebnego na zatroszczenie się o fizyczny i psychiczny dobrostan;Nierozpraszalni;Nir Eyal;;dbanie o siebie;59;2023.02.05 20:48
Otóż jeśli chodzi o nasz czas, powinniśmy przestać się zamartwiać rezultatami, na które nie mamy wpływu, a zamiast tego skupić się na możliwych w danej sytuacji staraniach. Jeśli chodzi o pozytywne skutki przeznaczania na coś czasu, możemy jedynie mieć nadzieję, a nie pewność.Jedyną rzeczą, o jakiej decydujemy, jest czas, jaki przeznaczamy na jakieś zadanie;Nierozpraszalni;Nir Eyal;;starania a nie rezultaty;60;2023.02.05 20:52
Najpierw zarezerwuj czas dla siebie. Jesteś w centrum trzech dziedzin życia. Jeśli nie wygospodarujesz dla siebie czasu, dwie pozostałe dziedziny na tym ucierpią.Staraj się robić rzeczy, które sobie zaplanowałeś. Nie zawsze w pełni panujemy nad rezul;Nierozpraszalni;Nir Eyal;;zapamietaj 10.1;60;2023.02.05 20:54
tatami przeznaczonego na coś czasu, decydujemy jednak o tym, ile włożymy go w dane zadanie.Starania są czymś znacznie pewniejszym niż efekty. Mając na celu życie, na jakim Ci zależy, powinieneś przede wszystkim wygospodarowywać czas na postępowanie zgodne z własnymi wartościami.;Nierozpraszalni;Nir Eyal;;zapamietaj 10.2;61;2023.02.05 20:55
Rozdział 11. Zaplanuj czas na ważne relacjeNajbliżsi nie powinni zadowalać się resztkami naszego czasu. Wygospodarowanie go na życie zgodne z własnymi wartościami i realizację wspólnych zadań przynosi korzyści wszystkim;Nierozpraszalni;Nir Eyal;;czas na zycie z wartosciami;65;2023.02.05 23:37
Ustalenie tematu pomaga nam w dwójnasób. Po pierwsze pozwala pominąć prozaiczne rozmowy o sporcie i pogodzie i daje sposobność do otwartego przedyskutowania naprawdę istotnych spraw, po drugie zaś zapobiega podziałowi, do którego często dochodzi podczas spotkań w parach — mężczyźni w jednym kącie, kobiety w drugim. Temat dnia umożliwia wspólną konwersację;Nierozpraszalni;Nir Eyal;;spotkanie z tematem;66;2023.02.05 23:42
dla Ciebie ważny, regularnie znajduj dla niego czas w kalendarzu.Nie ograniczaj się do wyznaczenia w kalendarzu dni randek ze swoją drugą połową.Uwzględnij w harmonogramie także obowiązki domowe, aby je równo podzielić.Brak przyjaźni może być niebezpieczny dla zdrowia. Dbaj o najważniejsze relacje, znajdując czas na regularne spotkania;Nierozpraszalni;Nir Eyal;;zapamietaj 11 czas dla waznych;67;2023.02.05 23:45
Rozdział 12. Uzgodnij grafik ze współpracownikamiWprowadzenie szczegółowego harmonogramu pracy pomaga w pogłębieniu fundamentalnego zaufania między pracodawcą a pracownikami.;Nierozpraszalni;Nir Eyal;;harmonogram jako zaufanie;70;2023.02.05 23:55
znajdowania czasu na trakcję. Jeśli Twoi współpracownicy albo przełożeni nie wiedzą, na co przeznaczasz czas, są bardziej skłonni zawracać Ci głowę nieistotnymi zadaniami.Uzgadniaj plany tak często, jak często się one zmieniają. Jeżeli Twój harmonogram zmienia się z dnia na dzień, konsultuj go codziennie. Większości ludzi wystarcza jednak uzgadnianie go raz w tygodniu.;Nierozpraszalni;Nir Eyal;;zapamietaj 12;73;2023.02.06 00:04
Rozdział 13. Zadaj fundamentalne pytanieObecnie większość zmagań z dekoncentracją to w istocie zmagania z zewnętrznymi bodźcami.;Nierozpraszalni;Nir Eyal;;bodzce zewnetrzne;77;2023.02.06 17:48
Zewnętrzne bodźce często są dekoncentrujące. Sygnały płynące z otoczenia, takie jak dzwonki czy brzęczyki, a także przerwy wynikające z działań podejmowanych przez innych ludzi, często skłaniają nas do zboczenia z obranego kursu.Zewnętrzne bodźce nie zawsze są szkodliwe. Jeśli taki bodziec pomaga zyskać trakcję, to znaczy, że jest korzystny.Musimy zadawać sobie następujące pytanie: „Czy dany bodziec mi służy, czy to ja służę jemu?”. Na tej podstawie można zablokować zewnętrzne bodźce, które nam nie sprzyjają;Nierozpraszalni;Nir Eyal;;zapaamietaj 12;79;2023.02.06 17:55
Rozdział 14. Nie daj się przerwom w pracyDekoncentracja prowadzi do błędów. Jeśli będziesz się często rozpraszał, nie wykonasz pracy najlepiej, jak umiesz.Otwarte przestrzenie biurowe sprzyjają rozkojarzeniu.Broń swoich chwil skupienia. Komunikuj, że nie chcesz, aby Ci przeszkadzano. Umieść tabliczkę na monitorze albo daj inny wyraźny sygnał, który poinformuje ludzi, że jesteś nierozpraszalny;Nierozpraszalni;Nir Eyal;;zapamietaj 13;84;2023.02.06 18:11
Ustanów godziny otwarcia biuraBędziesz zdumiony, ile rzeczy staje się nieistotnych, gdy na pewien czas pozostawisz je swojemu losowi;Nierozpraszalni;Nir Eyal;;czas a nieistotnosc;87;2023.02.06 18:20
Do dwóch razy sztukaPrzeanalizuj problem. Łączny czas spędzony nad e-mailami (T) jest funkcją liczby otrzymanych wiadomości (n) i średniego czasu (t) przeznaczonego na każdą z nich: T = n·t.Zmniejsz liczbę otrzymywanych wiadomości. Ustal „godziny otwarcia biura”, opóźniaj odsyłanie odpowiedzi i wyeliminuj ze skrzynki pocztowej te komunikaty, które tylko marnują Ci czas.Ogranicz czas przeznaczany na każdą wiadomość. Oznacz e-maile zgodnie z tym, kiedy należy na nie odpisać. Odpisuj zaś w porze specjalnie przeznaczonej na ten cel w kalendarzu;Nierozpraszalni;Nir Eyal;;zapaamietaj 14;91;2023.02.06 18:30
Reguła 4. Korzystaj wybiórczoZ narzędzi do komunikacji natychmiastowej należy korzystać z umiarem. Dyskusja nie powinna odbywać się kosztem czasu przeznaczonego na skupienie.Ważna jest kultura firmy. Zmiana zwyczajów dotyczących czatów może wymagać zakwestionowania obowiązującego w firmie status quo. To zagadnienie zostało omówione w części piątej.Różne kanały komunikacji mają odmienne zastosowania. Zamiast równolegle korzystać ze wszystkich dostępnych narzędzi, używaj tych, które najlepiej nadają się do danego celu.Wchodź i wychodź. Czat grupowy może znakomicie zastąpić spotkania osobiste, lecz jeśli trwa cały dzień, przemienia się w katastrofę;Nierozpraszalni;Nir Eyal;;zapamietaj 15;94;2023.02.06 18:43
Rozdział 17. Nie daj się spotkaniomJeśli zamierzamy przeznaczyć czas na spotkanie, powinniśmy zadbać o to, abyśmy byli na nim obecni duchem i ciałem.;Nierozpraszalni;Nir Eyal;;cialem I duchem;96;2023.02.06 18:52
Na zebraniach może panować bardzo napięta atmosfera, niezręczne układy międzyludzkie lub nuda — urządzenia są sposobem na odcięcie się od tych niekomfortowych, zewnętrznych bodźców;Nierozpraszalni;Nir Eyal;;elektronika jako ucieczka;97;2023.02.06 18:55
Utrudnij zwoływanie spotkań. Aby zwołać spotkanie, organizator powinien najpierw przedstawić porządek obrad i streszczenie tematyki.Spotkania służą do wypracowywania konsensusu. Poza kilkoma wyjątkami kreatywnym rozwiązywaniem problemów należy się zająć przed zebraniem, indywidualnie lub w bardzo małych grupach.Bądź w pełni zaangażowany. Ludzie używają urządzeń, aby uciec przed monotonią i nudą spotkań, a to dodatkowo umniejsza wszelki sens zbierania się.Na spotkaniu powinien być jeden laptop. Użytkowanie urządzeń przez wszystkich dyskutantów utrudnia zrealizowanie celu spotkania. Z wyjątkiem jednego laptopa, służącego do wyświetlania informacji i sporządzania notatek, całą elektronikę warto zostawić za drzwiami sali konferencyjnej;Nierozpraszalni;Nir Eyal;;zapamietaj 16;97;2023.02.06 18:58
Krok 4. Przejmij kontrolęWystarczą cztery kroki i mniej niż godzina, by nie dać się zewnętrznym bodźcom płynącym z telefonu.Usuń. Odinstaluj aplikacje, których już nie potrzebujesz.Zastąp. Wprowadź zmiany dotyczące pory i miejsca użytkowania potencjalnie dekoncentrujących aplikacji, takich jak media społecznościowe i YouTube. Możesz posługiwać się ;Nierozpraszalni;Nir Eyal;;zapamietaj 17.1;103;2023.02.09 00:55
nimi na komputerze stacjonarnym zamiast na telefonie. Kup sobie zegarek, aby nie sprawdzać godziny na smartfonie.Wprowadź nowe porządki. Usuń z ekranu głównego urządzenia aplikacje, które mogą Cię skłaniać do bezmyślnego „stukania”.Przejmij kontrolę. Zmień ustawienia powiadomień dla każdej aplikacji. Znacznie ogranicz liczbę programów, które mogą wysyłać komunikaty wizualne i dźwiękowe. Naucz się posługiwać ustawieniami trybów „nie przeszkadzać” telefonu;Nierozpraszalni;Nir Eyal;;zapamietaj 17.2;104;2023.02.09 00:56
Rozdział 19. Nie daj się pulpitowi(„Nierozpraszalną” tapetę możesz pobrać ze strony NirAndFar.com/Indistractable);Nierozpraszalni;Nir Eyal;;tapeta nierozpraszalni;107;2023.02.09 01:03
Bałagan na pulpicie ma poważne konsekwencje dla psychiki i dekoncentruje. Usunięcie zewnętrznych bodźców z cyfrowej przestrzeni pomoże Ci się skupić.Wyłącz powiadomienia wyświetlane na pulpicie. Wyłączenie powiadomień na komputerze gwarantuje, że podczas pracy wymagającej skupienia nie rozproszą Cię zewnętrzne bodźce.;Nierozpraszalni;Nir Eyal;;zapamietaj 18;109;2023.02.09 01:05
Rozdział 20. Nie daj się artykułom onlineTechnika zastosowana przez Milkman jest nazywana łączeniem pokus (ang. temptation bundling) i można ją stosować, ilekroć zależy nam na tym, by wykorzystać nagrodę związaną z jakimś zachowaniem do podejmowania innych działań. W moim przypadku artykuły zapisywane w aplikacji Pocket są nagrodami za ćwiczenia.;Nierozpraszalni;Nir Eyal;;laczenie pokus;113;2023.02.09 01:18
Artykuły online są pełne potencjalnie dekoncentrujących, zewnętrznych bodźców. Otwarte zakładki mogą nas wytrącić z kursu i mają tendencje do wciągania w wir czasochłonnej lektury.Stwórz zasadę. Obiecaj sobie, że zapiszesz ciekawe artykuły na później za pomocą aplikacji takiej jak Pocket.Niespodzianka! Możesz robić kilka rzeczy naraz. Dzięki wielokanałowej wielozadaniowości da się słuchać artykułów podczas treningu lub urządzać zebrania na spacerze.;Nierozpraszalni;Nir Eyal;;zapamietaj 19;113;2023.02.09 01:21
